ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,2568,,소비재/ 경기 방어형,식품 가공,,,Shanghai Bairun A,
,심천,2157,,소비재/ 경기 방어형,식품 가공,,,Jiangxi Zhengbang Technology Co Ltd,
,상하이,600132,,소비재/ 경기 방어형,음료(알코올성),,,Chongqing Brewery,
,상하이,603579,,소비재/ 경기 방어형,개인과 가계용 제품,,,Shanghai Rongtai Health,
,심천,2041,,소비재/ 경기 방어형,곡물,,,Denghai Seeds A,
,상하이,600701,,소비재/ 경기 방어형,식품 가공,,,Harbin Gong Da High-Tech,
,심천,2327,,소비재/ 경기 방어형,개인과 가계용 제품,,,Fuanna A,
,심천,48,,소비재/ 경기 방어형,식품 가공,,,Sz Kondarl A,
,심천,300740,,소비재/ 경기 방어형,개인과 가계용 제품,,,Yujiahui A,
,상하이,600429,,소비재/ 경기 방어형,식품 가공,,,Beijing Sanyuan Foods,
,심천,848,,소비재/ 경기 방어형,음료 (비알코올성),,,Chengde Lolo A,
,상하이,603711,,소비재/ 경기 방어형,식품 가공,,,Xiangpiaopiao Food A,
,상하이,600084,,소비재/ 경기 방어형,음료(알코올성),,,Citic Guoan Wine,
,상하이,600965,,소비재/ 경기 방어형,Fish/Livestock 어업/축산,,,Fortune Ng Fung Food Hebei,
,상하이,600197,,소비재/ 경기 방어형,음료(알코올성),,,Xinjiang Yilite Industry,
,심천,639,,소비재/ 경기 방어형,식품 가공,,,Xiwang Foodstuff A,
,심천,2094,,소비재/ 경기 방어형,개인과 가계용 제품,,,Qd Kingking A,
,상하이,603609,,소비재/ 경기 방어형,식품 가공,,,Liaoning Wellhope Agri-Tech,
,심천,2695,,소비재/ 경기 방어형,식품 가공,,,Jiangxi Huangshanghuang Food A,
,심천,2726,,소비재/ 경기 방어형,Fish/Livestock 어업/축산,,,Shandong Longda Meat Foodstuff,
,심천,2515,,소비재/ 경기 방어형,식품 가공,,,Jinzi Ham A,
,상하이,603363,,소비재/ 경기 방어형,식품 가공,,,Fujian Aonong Biological,
,심천,2557,,소비재/ 경기 방어형,식품 가공,,,Qiaqia Food A,
,심천,2100,,소비재/ 경기 방어형,식품 가공,,,Tecon Animal A,
,심천,799,,소비재/ 경기 방어형,음료(알코올성),,,Jiugui Liquor A,
,상하이,603043,,소비재/ 경기 방어형,식품 가공,,,Guangzhou Restaurant,
,상하이,600108,,소비재/ 경기 방어형,곡물,,,Gansu Yasheng Industrial,
,심천,300149,,소비재/ 경기 방어형,식품 가공,,,Quantum Hi tech China Bio,
,심천,2840,,소비재/ 경기 방어형,Fish/Livestock 어업/축산,,,Zhejiang Huatong,
,상하이,600439,,소비재/ 경기 방어형,개인과 가계용 제품,,,Henan Rebecca Hair,
,심천,300143,,소비재/ 경기 방어형,곡물,,,Starway Bio-Tech,
,상하이,600300,,소비재/ 경기 방어형,식품 가공,,,V V Food & Beverage,
,심천,2582,,소비재/ 경기 방어형,식품 가공,,,Haoxiangni A,
,상하이,600073,,소비재/ 경기 방어형,Fish/Livestock 어업/축산,,,Shanghai Maling Aquarius,
,심천,2301,,소비재/ 경기 방어형,사무용품,,,Comix Group A,
,상하이,600059,,소비재/ 경기 방어형,음료(알코올성),,,Zhejiang Guyuelongshan Shaoxing Wine,
,심천,557,,소비재/ 경기 방어형,음료(알코올성),,,Guangxia A,
,심천,2124,,소비재/ 경기 방어형,식품 가공,,,Ningbo Tech A,
,상하이,603365,,소비재/ 경기 방어형,개인과 가계용 제품,,,Shanghai Shuixing Textile A,
,심천,300094,,소비재/ 경기 방어형,Fish/Livestock 어업/축산,,,Zhanjiang Guolian Aquatic Products,
,심천,2216,,소비재/ 경기 방어형,식품 가공,,,Sanquan Food A,
,상하이,603605,,소비재/ 경기 방어형,개인과 가계용 제품,,,Proya Cosmetics A,
,상하이,603299,,소비재/ 경기 방어형,식품 가공,,,Jiangsu Jingshen Salt & Chemical,
,상하이,600305,,소비재/ 경기 방어형,식품 가공,,,Jiangsu Hengshun,
,상하이,601928,,서비스,인쇄와 출판,,,Jiangsu Phoenix Publishing,
,상하이,600648,,서비스,소매(백화점과 할인점),,,Shanghai Waigaoqiao Free Trade Zone,
,상하이,900912,,서비스,소매(백화점과 할인점),,,Shanghai Waigaoqiao Free Trade Zone B,
,상하이,600633,,서비스,광고,,,Zhejiang Daily Media,
,상하이,600037,,서비스,방송과 케이블 티브이,,,Beijing Gehua CATV Network,
,심천,300355,,서비스,개인 서비스,,,Inner Mongolia Hotision Monsod,
,상하이,600093,,서비스,사업 서비스,,,Sichuan Hejia,
,심천,300197,,서비스,개인 서비스,,,Shenzhen Techand Eco Environment,
,심천,793,,서비스,인쇄와 출판,,,Huawen Media A,
,심천,300058,,서비스,사업 서비스,,,BlueFocus Communication Group,
,상하이,600138,,서비스,개인 서비스,,,China CYTS Tours,
,심천,156,,서비스,방송과 케이블 티브이,,,Wasu Media Holdings A,
,상하이,600874,,서비스,폐기물 관리 서비스,,,Tianjin Capital,
,심천,300413,,서비스,소매(카탈로그와 메일 주문),,,Happigo Home Shopping Co Ltd,
,심천,2503,,서비스,소매(의복),,,Souyute Fashion A,
,상하이,601258,,서비스,소매(전문),,,Pang Da Automobile,
,상하이,600856,,서비스,소매(백화점과 할인점),,,Changchun Sinoenergy,
,심천,2419,,서비스,소매(백화점과 할인점),,,Rainbow Store A,
,상하이,603377,,서비스,학교,,,Eastern Pioneer Driving School,
,상하이,600859,,서비스,소매(백화점과 할인점),,,Wangfujing,
,심천,2183,,서비스,사업 서비스,,,Eternal Asia A,
,상하이,600655,,서비스,소매(전문),,,Shanghai Yuyuan Tourist,
,상하이,600575,,서비스,사업 서비스,,,Anhui Wanjiang Logistics,
,상하이,603568,,서비스,폐기물 관리 서비스,,,Zhejiang Weiming Environment,
,상하이,600007,,서비스,부동산 운용,,,China World Trade Center,
,심천,560,,서비스,소매(백화점과 할인점),,,Sinobright A,
,심천,591,,서비스,소매(약품),,,Chongqing Tong Jun Ge,
,상하이,603877,,서비스,소매(의복),,,Ningbo Peacebird Fashion,
,상하이,603882,,서비스,사업 서비스,,,Guangzhou Kingmed Diagnostics,
,심천,62,,서비스,소매(카탈로그와 메일 주문),,,Sz Huaqiang A,
,심천,2717,,서비스,개인 서비스,,,Lingnan Landscape Co Ltd,
,상하이,600086,,서비스,소매(전문),,,Eastern Gold Jade,
,상하이,603103,,서비스,영화,,,Hengdian Entertainment,
,심천,2727,,서비스,소매(약품),,,Yunnan Hongxiang Yixintang Pharma,
,심천,2509,,서비스,보안 시스템과 서비스,,,Tianguang Fire-Fighting,
,심천,300287,,서비스,사업 서비스,,,Beijing Philisense Tech,
,상하이,600864,,서비스,사업 서비스,,,Harbin Hatou Invest,
,상하이,600981,,서비스,소매(백화점과 할인점),,,Jiangsu High Hope,
,상하이,601811,,서비스,인쇄와 출판,,,Xinhua Winshare Media,
,심천,673,,서비스,영화,,,Eastern Investment A,
,심천,2251,,서비스,소매(식료잡화),,,Better Life A,
,심천,2482,,서비스,사업 서비스,,,Grandland Group A,
,심천,61,,서비스,소매(식료잡화),,,Shenzhen Agric A,
,상하이,600681,,서비스,개인 서비스,,,Bestsun Energy,
,상하이,600729,,서비스,소매(백화점과 할인점),,,Chongqing Department Store,
,심천,2672,,서비스,폐기물 관리 서비스,,,Dongjiang Environmental A,
,심천,501,,서비스,소매(백화점과 할인점),,,Wuhan Department Store Group,
,상하이,600057,,서비스,사업 서비스,,,Xiamen Xiangyu,
,상하이,601949,,서비스,인쇄와 출판,,,China Publishing Media,
,상하이,600640,,서비스,개인 서비스,,,Besttone Holding,
,심천,2431,,서비스,개인 서비스,,,Palm Landscape A,
,상하이,603888,,서비스,소매(전문),,,Xinhuanet,
,상하이,600828,,서비스,소매(백화점과 할인점),,,Maoye Commercial,
,심천,917,,서비스,방송과 케이블 티브이,,,Tv & Broadcast A,
,심천,2707,,서비스,개인 서비스,,,Utour Travel A,
,상하이,600122,,서비스,소매(기술제품),,,Jiangsu Hongtu Hi-Tech,
,심천,796,,서비스,레스토랑,,,Hna-Caissa Travel Group,
,심천,200025,,서비스,소매(전문),,,Shenzhen Tellus,
,심천,25,,서비스,소매(전문),,,Tellus A,
,상하이,601515,,서비스,인쇄 서비스,,,Shantou Dongfeng Printing,
,심천,300664,,서비스,폐기물 관리 서비스,,,Penyao Environmental A,
,상하이,600694,,서비스,소매(백화점과 할인점),,,Dashang,
,상하이,603708,,서비스,소매(식료잡화),,,Jiajiayue,
,심천,829,,서비스,소매(기술제품),,,Telling Tele A,
,심천,36,,서비스,부동산 운용,,,Union Hldgs A,
,심천,516,,서비스,소매(백화점과 할인점),,,Xian International Medical Investment,
,심천,300291,,서비스,영화,,,Beijing Hualu Baina Film TV,
,심천,2609,,서비스,보안 시스템과 서비스,,,Jieshun Sci&Tech A,
,심천,2312,,서비스,보안 시스템과 서비스,,,Chengdu Santai Holding,
,상하이,600996,,서비스,방송과 케이블 티브이,,,Guizhou BC&TV,
,상하이,603096,,서비스,인쇄와 출판,,,Thinkingdom Media,
,심천,18,,서비스,부동산 운용,,,Victor On Text A,
,심천,200018,,서비스,부동산 운용,,,Sino Great Wall,
,심천,300178,,서비스,여가 활동,,,Shenzhen Tempus Global Business,
,상하이,601900,,서비스,인쇄와 출판,,,Southern Publishing and Media,
,심천,35,,서비스,폐기물 관리 서비스,,,China Tianying Inc,
,상하이,600280,,서비스,소매(백화점과 할인점),,,Nanjing Central Emporium,
,상하이,603900,,서비스,소매(전문),,,TESIRO Jewelry,
,심천,300495,,서비스,개인 서비스,,,Misho Ecology Landscape,
,심천,544,,서비스,폐기물 관리 서비스,,,Zhongyuan Environment Prot Ltd,
,심천,2113,,서비스,부동산 운용,,,Tianrun Enterpri A,
,심천,882,,서비스,소매(백화점과 할인점),,,Hualian Dep A,
,상하이,601366,,서비스,소매(백화점과 할인점),,,Qingdao Liqun Department,
,심천,711,,서비스,사업 서비스,,,Tianlun A,
,심천,719,,서비스,인쇄와 출판,,,Central China Land Media Co Ltd,
,상하이,601929,,서비스,방송과 케이블 티브이,,,JiShi Media,
,심천,889,,서비스,소매(백화점과 할인점),,,Maoye Logistics A,
,상하이,600217,,서비스,폐기물 관리 서비스,,,Zhongzai Resources,
,상하이,900942,,서비스,호텔과 모텔,,,Huangshan Tourism B,
,상하이,600054,,서비스,호텔과 모텔,,,Huangshan Tourism A,
,상하이,601116,,서비스,소매(식료잡화),,,Sanjiang Shopping Club,
,심천,802,,서비스,영화,,,Beijing Jingxi Culture A,
,상하이,600757,,서비스,인쇄와 출판,,,Changjiang Media,
,심천,300012,,서비스,사업 서비스,,,Centre Testing Intl Shenzhen,
,심천,2400,,서비스,광고,,,Gd Advertising A,
,상하이,601965,,서비스,사업 서비스,,,China Auto Engineering,
,심천,300288,,서비스,개인 서비스,,,Longmaster Information Tech,
,심천,2344,,서비스,부동산 운용,,,Haining Leather A,
,상하이,600661,,서비스,학교,,,Shanghai Xin Nanyang,
,심천,2663,,서비스,개인 서비스,,,Pubang Landscape Architect,
,심천,300426,,서비스,영화,,,Zhejiang Talent TV,
,심천,2697,,서비스,소매(식료잡화),,,Chengdu Hongqi Chain A,
,상하이,603359,,서비스,개인 서비스,,,Jiangsu Dongzhu Landscape,
,심천,504,,서비스,인쇄와 출판,,,Nanhua Bio Medicine,
,상하이,603588,,서비스,폐기물 관리 서비스,,,Beijing Geoenviron Tech,
,상하이,601858,,서비스,인쇄와 출판,,,China Science Publishing,
,상하이,600136,,서비스,부동산 운용,,,Wuhan DDMC Culture,
,상하이,601086,,서비스,소매(백화점과 할인점),,,Gansu Guofang Industry,
,심천,58,,서비스,소매(기술제품),,,Shenzhen Seg A,
,심천,200058,,서비스,소매(기술제품),,,Shenzhen SEG,
,심천,2277,,서비스,소매(백화점과 할인점),,,Hunan Friendship&Apolo A,
,심천,2713,,서비스,사업 서비스,,,Dong Yi Ri Sheng Home Decoration,
,심천,2264,,서비스,소매(식료잡화),,,New Hua Du A,
,상하이,601595,,서비스,영화,,,Shanghai Film,
,상하이,603808,,서비스,소매(의복),,,Shenzhen Ellassay Fashion,
,심천,2712,,서비스,광고,,,Simei Media A,
,상하이,603357,,서비스,사업 서비스,,,Anhui Transport,
,상하이,601010,,서비스,소매(백화점과 할인점),,,Wenfeng Great World Chain,
,심천,2769,,서비스,사업 서비스,,,Shenzhen Prolto Supply Chain Manage,
,심천,861,,서비스,렌탈과 리스,,,Gd Highsun A,
,심천,524,,서비스,호텔과 모텔,,,Dongfang Hotel A,
,심천,665,,서비스,방송과 케이블 티브이,,,Hubei Broadcasting And Tv Info A,
,상하이,603648,,서비스,사업 서비스,,,Shanghai Shine-Link,
,심천,2659,,서비스,학교,,,Jiangsu Zhongtai Bridge Steel Struc,
,상하이,600738,,서비스,소매(백화점과 할인점),,,Lanzhou Minbai Shareholding,
,상하이,600829,,서비스,소매(약품),,,HPGC Renmintongtai Pharm,
,심천,2905,,서비스,영화,,,Guangzhou Jinyi Media,
,상하이,600825,,서비스,인쇄와 출판,,,Shanghai Xinhua Media,
,심천,300336,,서비스,영화,,,Shanghai New Culture Media Gr,
,상하이,600628,,서비스,소매(백화점과 할인점),,,Shanghai New World,
,상하이,600551,,서비스,인쇄와 출판,,,Time Publishing,
,상하이,600693,,서비스,소매(백화점과 할인점),,,Fujian Dongbai,
,상하이,600790,,서비스,부동산 운용,,,Zhejiang China Textile,
,상하이,600620,,서비스,부동산 운용,,,Shanghai Tianchen,
,심천,417,,서비스,소매(백화점과 할인점),,,Hefei Dept A,
,심천,300215,,서비스,사업 서비스,,,Suzhou Electrical Apparatus Sci,
,심천,2887,,서비스,폐기물 관리 서비스,,,Tianjin LVYIN,
,심천,300392,,서비스,광고,,,Beijing Tensyn Digital Marketing,
,심천,759,,서비스,소매(식료잡화),,,Zhongbai Group A,
,심천,2229,,서비스,인쇄와 출판,,,Hongbo Printing A,
,상하이,600121,,서비스,소매(백화점과 할인점),,,Zhengzhou Coal & Electric,
,심천,2467,,서비스,통신 서비스,,,Net263 A,
,심천,2117,,서비스,인쇄 서비스,,,Tungkong A,
,심천,200505,,서비스,부동산 운용,,,HaiNan Pearl River B,
,심천,505,,서비스,부동산 운용,,,Pearl River A,
,심천,2238,,서비스,방송과 케이블 티브이,,,Shenzhen Topway A,
,심천,300148,,서비스,인쇄와 출판,,,Tangel Publishing,
,상하이,600168,,서비스,폐기물 관리 서비스,,,Wuhan Sanzhen,
,심천,2336,,서비스,소매(식료잡화),,,Renrenle A,
,심천,300335,,서비스,사업 서비스,,,Guangzhou Devotion Therm Tech,
,심천,607,,서비스,광고,,,Huamei Holding,
,심천,2575,,서비스,카지노와 게임,,,Qunxing Toys A,
,심천,2059,,서비스,렌탈과 리스,,,Yunnan Tourism A,
,상하이,600814,,서비스,소매(백화점과 할인점),,,Hangzhou Jiebai,
,심천,300422,,서비스,폐기물 관리 서비스,,,Guangxi Bossco Environmental,
,심천,300071,,서비스,사업 서비스,,,Spearhead Integrated Marketing,
,심천,151,,서비스,소매(백화점과 할인점),,,Complete Plant A,
,상하이,603825,,서비스,광고,,,Hylink Digital Solution,
,상하이,600723,,서비스,소매(백화점과 할인점),,,Beijing Capital Retailing,
,심천,300262,,서비스,폐기물 관리 서비스,,,Shanghai Safbon Water Service,
,심천,888,,서비스,여가 활동,,,Emei Shan Tour A,
,심천,300612,,서비스,사업 서비스,,,Shunya Consulting Beijing A,
,상하이,600880,,서비스,인쇄 서비스,,,Chengdu B-ray Media,
,상하이,600088,,서비스,영화,,,China TV Media,
,심천,2776,,서비스,사업 서비스,,,Guangdong Bobaolon,
,심천,2181,,서비스,광고,,,Guangdong Guangzhou Daily Media,
,심천,958,,서비스,사업 서비스,,,Dongfang Therm A,
,심천,7,,서비스,호텔과 모텔,,,Sz Zero-Seven A,
,상하이,900934,,서비스,호텔과 모텔,,,Shanghai Jin Jiang Hotels B,
,상하이,603060,,서비스,사업 서비스,,,China Building,
,상하이,603003,,서비스,소매(전문),,,Lonyer Fuels,
,심천,300688,,서비스,사업 서비스,,,Dark Horse Beijing Tech,
,심천,300213,,서비스,보안 시스템과 서비스,,,Beijing Jiaxun Feihong Electrical,
,심천,2186,,서비스,레스토랑,,,China Quanjude A,
,상하이,600831,,서비스,방송과 케이블 티브이,,,Shaanxi TV Network,
,심천,2148,,서비스,통신 서비스,,,Bewinner Comm A,
,상하이,600785,,서비스,소매(백화점과 할인점),,,Yinchuan Xinhua Commercial,
,상하이,600824,,서비스,소매(의복),,,Shanghai Yimin Commerce,
,상하이,600855,,서비스,보안 시스템과 서비스,,,Aerospace Cf,
,심천,300649,,서비스,개인 서비스,,,Hangzhou Landscape,
,심천,300532,,서비스,사업 서비스,,,New Trend International Logis-Tech,
,심천,996,,서비스,소매(전문),,,China CIFCO Investment,
,상하이,603007,,서비스,개인 서비스,,,Flower King Eco-Engineering,
,심천,2071,,서비스,영화,,,Great Wall Movie TV Ltd,
,심천,2561,,서비스,소매(백화점과 할인점),,,Xujiahui Commerc A,
,심천,2033,,서비스,여가 활동,,,Lijiang Tourism A,
,심천,300299,,서비스,사업 서비스,,,Fuchun Tech,
,심천,2605,,서비스,카지노와 게임,,,Shanghai Yaoji Playing Card A,
,상하이,603608,,서비스,소매(의복),,,Topscore Fashion Shoes,
,상하이,600209,,서비스,사업 서비스,,,Lawton Develop,
,상하이,600653,,서비스,소매(전문),,,Shanghai Shenhua,
,상하이,603817,,서비스,폐기물 관리 서비스,,,Fujian Haixia Environmental,
,심천,300242,,서비스,광고,,,MIG Unmobi Tech,
,심천,300528,,서비스,영화,,,Omnijoi Media,
,상하이,603030,,서비스,사업 서비스,,,Shanghai Trendzone Construction,
,상하이,600386,,서비스,소매(전문),,,Beijing Bashi Media,
,심천,2775,,서비스,개인 서비스,,,Shenzhen Wenke Landscape Co Ltd,
,상하이,603999,,서비스,인쇄와 출판,,,Duzhe Publishing & Media,
,심천,506,,서비스,부동산 운용,,,Zhongrun Resources Investment,
,상하이,600576,,서비스,영화,,,Zhejiang Whwh,
,상하이,600712,,서비스,소매(백화점과 할인점),,,Nanning Department Store,
,상하이,601999,,서비스,인쇄와 출판,,,Northern United Publishing,
,상하이,603602,,서비스,통신 서비스,,,Hangzhou Freely Communication,
,심천,2374,,서비스,개인 서비스,,,Shandong Lipeng A,
,심천,428,,서비스,호텔과 모텔,,,Huatian Hotel A,
,심천,300350,,서비스,사업 서비스,,,Shenzhen Huapengfei Logistics,
,심천,2599,,서비스,인쇄 서비스,,,Shengtong Print A,
,상하이,600327,,서비스,소매(전문),,,Wuxi Commercial,
,상하이,600891,,서비스,소매(백화점과 할인점),,,Harbin Churin Group Jointstock,
,상하이,600119,,서비스,사업 서비스,,,Y.U.D. Yangtze River Inv,
,상하이,600838,,서비스,소매(백화점과 할인점),,,Shanghai Join Buy,
,상하이,600697,,서비스,소매(백화점과 할인점),,,Chang Chun Eurasia,
,상하이,603717,,서비스,개인 서비스,,,Tianyu Ecology & Landscape,
,심천,300692,,서비스,폐기물 관리 서비스,,,Anhui Zhonghuan Environmental,
,심천,300662,,서비스,사업 서비스,,,Beijing Career,
,상하이,603123,,서비스,소매(백화점과 할인점),,,Beijing Cuiwei Tower,
,상하이,603778,,서비스,개인 서비스,,,Beijing Qianjing Landscape,
,상하이,600082,,서비스,소매(백화점과 할인점),,,Tianjin Hi-Tech Dev,
,상하이,600858,,서비스,소매(백화점과 할인점),,,Inzone Group,
,심천,812,,서비스,인쇄 서비스,,,Shaanxi Jinye A,
,상하이,603797,,서비스,폐기물 관리 서비스,,,Guangdong Liantai Environ,
,심천,2889,,서비스,사업 서비스,,,Shenzhen Easttop Supply,
,심천,300425,,서비스,폐기물 관리 서비스,,,Scimee SciTech,
,상하이,603598,,서비스,광고,,,Inly Media,
,상하이,600358,,서비스,개인 서비스,,,China United Travel,
,심천,430,,서비스,개인 서비스,,,Zhangjiajie A,
,심천,300603,,서비스,통신 서비스,,,Leon Tech,
,상하이,603903,,서비스,폐기물 관리 서비스,,,CSD Water Service,
,상하이,603388,,서비스,개인 서비스,,,Zhejiang Yuancheng Landscape,
,심천,2627,,서비스,소매(전문),,,Yichang Trnsport A,
,상하이,603729,,서비스,광고,,,Shanghai LongYun Media,
,심천,753,,서비스,소매(전문),,,Zhangzhou Dev A,
,심천,300560,,서비스,통신 서비스,,,Zhong Fu Tong,
,상하이,600361,,서비스,소매(식료잡화),,,Beijing Hualian,
,심천,2607,,서비스,소매(전문),,,Yaxia Automobile A,
,심천,2187,,서비스,소매(백화점과 할인점),,,Gz Grandbuy A,
,심천,300668,,서비스,사업 서비스,,,Shenzhen Jiang Design,
,상하이,600830,,서비스,소매(백화점과 할인점),,,Sunny Loan Top,
,상하이,600836,,서비스,인쇄 서비스,,,Shanghai Jielong Industry,
,심천,2878,,서비스,사업 서비스,,,Beijing Yuanlong Yato Culture,
,심천,416,,서비스,소매(백화점과 할인점),,,Minsheng Invest A,
,심천,2214,,서비스,보안 시스템과 서비스,,,Dali Technology A,
,상하이,600706,,서비스,개인 서비스,,,XiAn Qujiang Tourism,
,상하이,603955,,서비스,개인 서비스,,,Daqian Ecology,
,상하이,601007,,서비스,호텔과 모텔,,,Jinling Hotel,
,상하이,603136,,서비스,개인 서비스,,,Jiangsu Tianmu Lake,
,상하이,603101,,서비스,소매(백화점과 할인점),,,Xinjiang Winka Times Department Store,
,심천,300556,,서비스,사업 서비스,,,Silkroad Visual Tech,
,심천,2762,,서비스,소매(의복),,,Jinfa Labi Maternity & Baby,
,심천,2811,,서비스,사업 서비스,,,Shenzhen Asiantime,
,심천,419,,서비스,소매(백화점과 할인점),,,Tongcheng Hold A,
,심천,200613,,서비스,호텔과 모텔,,,Hainan Dadonghai Tourism B,
,심천,613,,서비스,호텔과 모텔,,,Hainan Dadonghai Tourism A,
,상하이,600865,,서비스,소매(백화점과 할인점),,,Baida Group,
,심천,2893,,서비스,사업 서비스,,,Beijing HuaYuanYiTong Thermal,
,상하이,603199,,서비스,호텔과 모텔,,,Anhui Jiuhuashan Tourism,
,상하이,600898,,서비스,소매(기술제품),,,Sanlian Commercial,
,심천,300654,,서비스,인쇄와 출판,,,Shandong Astro-century Education,
,상하이,600593,,서비스,여가 활동,,,Dalian Sunasia Tourism,
,상하이,603300,,서비스,렌탈과 리스,,,Zhejiang Huatie Construction,
,심천,2789,,서비스,사업 서비스,,,Shenzhen Jianyi Decoration,
,상하이,600982,,서비스,사업 서비스,,,Ningbo Thermal Power,
,심천,300546,,서비스,보안 시스템과 서비스,,,Shenzhen Emperor Tech,
,상하이,600833,,서비스,소매(약품),,,Shanghai No1 Pharm,
,상하이,600749,,서비스,개인 서비스,,,Tibet Tourism,
,상하이,600774,,서비스,소매(백화점과 할인점),,,Wuhan Hanshang,
,심천,300578,,서비스,통신 서비스,,,BizConf Telecom,
,심천,2836,,서비스,인쇄 서비스,,,Guangdong New Grand Long Packing,
,상하이,600861,,서비스,소매(식료잡화),,,Beijing Urban Rural Commercial,
,상하이,600821,,서비스,소매(백화점과 할인점),,,Tianjin Quanyechang,
,심천,2306,,서비스,레스토랑,,,Cltg A,
,심천,978,,서비스,개인 서비스,,,Guilin Tourism A,
,상하이,603200,,서비스,폐기물 관리 서비스,,,Shanghai Emperor,
,심천,526,,서비스,학교,,,Xiamen Insight Investment A,
,심천,2830,,서비스,사업 서비스,,,Shenzhen Mingdiao Decoration,
,심천,300621,,서비스,사업 서비스,,,Shenzhen Weiye Decoration,
,심천,721,,서비스,레스토랑,,,Xian Catering A,
,상하이,603721,,서비스,영화,,,TVZone Media,
,심천,2740,,서비스,소매(전문),,,Shenzhen Ideal Jewellery,
,심천,2875,,서비스,소매(의복),,,Annil,
,심천,300399,,서비스,통신 서비스,,,Beijing Tianli Mobile Service,
,심천,2159,,서비스,여가 활동,,,Sante Cableway A,
,상하이,603316,,서비스,개인 서비스,,,Zhejiang Chengbang,
,심천,593,,서비스,소매(백화점과 할인점),,,Datong Gas A,
,심천,785,,서비스,소매(백화점과 할인점),,,Wuhan Zhongnan A,
,심천,2858,,서비스,여가 활동,,,Shanghai Lisheng Racing,
,심천,300591,,서비스,소매(의복),,,Guangdong Wanlima,
,심천,300536,,서비스,개인 서비스,,,Wuhan Nusun Landscape,
,심천,300736,,서비스,사업 서비스,,,BYBON A,
,상하이,600556,,서비스,부동산 운용,,,Guangxi Future Tech,
,심천,715,,서비스,소매(백화점과 할인점),,,Zhongxing Shenyang,
,심천,2825,,서비스,인쇄 서비스,,,Shanghai Nar Industrial,
,상하이,600719,,서비스,사업 서비스,,,Dalian Thermal Power,
,상하이,600857,,서비스,소매(백화점과 할인점),,,Ningbo Zhongbai,
,심천,610,,서비스,개인 서비스,,,Xian Tourism A,
,심천,300025,,서비스,사업 서비스,,,Hangzhou Huaxing Chuangye,
,심천,679,,서비스,소매(백화점과 할인점),,,Dalian Friend A,
,심천,695,,서비스,사업 서비스,,,Binhai Energy A,
,심천,692,,서비스,사업 서비스,,,Huitian Power A,
,심천,2780,,서비스,소매(전문),,,Beijing Sanfo Outdoor,
,상하이,600455,,서비스,학교,,,ButOne Info,
,심천,2799,,서비스,인쇄 서비스,,,XiAn Global Printing,
,심천,300622,,서비스,소매(전문),,,Doctorglasses Chain,
,심천,2200,,서비스,개인 서비스,,,Yuntou Ecology A,
,상하이,600306,,서비스,소매(백화점과 할인점),,,Shenyang Commercial,
,상하이,603031,,서비스,소매(식료잡화),,,Anhui Andeli Department Store,
,상하이,600778,,서비스,소매(백화점과 할인점),,,Xinjiang Youhao,
,상하이,900929,,서비스,개인 서비스,,,Shanghai Jinjiang International Travel,
,상하이,900939,,서비스,부동산 운용,,,Shanghai Huili Building Materials,
,상하이,600028,,서비스,소매(전문),,,China Petrol A,
,상하이,600050,,서비스,통신 서비스,,,China Unicom Hong Kong,
,심천,2024,,서비스,소매(기술제품),,,Suning Commerce A,
,상하이,601888,,서비스,개인 서비스,,,China International Travel,
,심천,538,,서비스,소매(약품),,,Yunnan Baiyao A,
,상하이,601933,,서비스,소매(식료잡화),,,Yonghui Superstores,
,심천,2739,,서비스,영화,,,Wanda Cinema Line Corp,
,심천,1965,,서비스,개인 서비스,,,Merchant Express A,
,심천,300070,,서비스,폐기물 관리 서비스,,,Beijing Originwater Technology,
,심천,2310,,서비스,개인 서비스,,,Orient Landscape A,
,상하이,600705,,서비스,렌탈과 리스,,,AVIC Capital,
,상하이,600515,,서비스,소매(백화점과 할인점),,,Hainan HNA,
,상하이,600637,,서비스,방송과 케이블 티브이,,,Shanghai Oriental Pearl Media,
,심천,2624,,서비스,영화,,,Jinlei Refractory A,
,상하이,600682,,서비스,소매(백화점과 할인점),,,Nanjing Xinjiekou,
,심천,415,,서비스,렌탈과 리스,,,Bohai Leasing A,
,심천,300251,,서비스,영화,,,Beijing Enlight Media,
,상하이,600153,,서비스,소매(백화점과 할인점),,,Xiamen C&D,
,상하이,600977,,서비스,영화,,,China Film,
,상하이,600754,,서비스,호텔과 모텔,,,Shanghai Jin Jiang Hotels A,
,심천,300144,,서비스,여가 활동,,,Songcheng Performance Develop,
,상하이,600415,,서비스,소매(백화점과 할인점),,,Zhejiang Commodities,
,심천,564,,서비스,소매(백화점과 할인점),,,CCOOP Group,
,심천,2640,,서비스,소매(의복),,,Shanxi Baiyuan Trousers Chain A,
,상하이,601866,,서비스,렌탈과 리스,,,Cosco Shipping Dev,
,심천,2340,,서비스,폐기물 관리 서비스,,,Green Hitech A,
,상하이,600959,,서비스,통신 서비스,,,Jiangsu Information Network,
,상하이,600739,,서비스,소매(약품),,,Liaoning Cheng Da,
,심천,839,,서비스,방송과 케이블 티브이,,,Citic Guoan A,
,심천,300027,,서비스,영화,,,Huayi Brothers Media Corp,
